# Hills Cf(x) comparison: SST vs DNS (Krank 2018)
# DNS separation: x/H=0.1691
# DNS reattachment: x/H=5.0357
# x/H  Cf_SST  Cf_DNS
1.022461  0.00331585  -0.00127243
1.028320  0.00273113  -0.00128909
1.034180  0.00231152  -0.00130678
1.040039  0.00201033  -0.00132549
1.045898  0.01308799  -0.00134420
1.051758  0.00621032  -0.00136407
1.057617  0.00411579  -0.00138418
1.063477  0.00312173  -0.00140430
1.069336  0.00260675  -0.00142450
1.075195  0.00250354  -0.00144469
1.081055  0.00214643  -0.00146455
1.086914  0.04575061  -0.00148408
1.092773  0.00926803  -0.00150360
1.098633  0.00528529  -0.00152261
1.104492  0.00378860  -0.00154152
1.110352  0.00306159  -0.00156015
1.116211  0.00254581  -0.00157745
1.122070  0.00218525  -0.00159475
1.127930  0.00192376  -0.00161142
1.133789  0.01304129  -0.00162747
1.139648  0.00645802  -0.00164352
1.145508  0.00435168  -0.00165945
1.151367  0.00333726  -0.00167536
1.157227  0.00280993  -0.00169113
1.163086  0.00241582  -0.00170622
1.168945  0.00212533  -0.00172131
1.174805  0.00190766  -0.00173603
1.180664  0.01899362  -0.00175038
1.186523  0.00832045  -0.00176472
1.192383  0.00541493  -0.00177851
1.198242  0.00408015  -0.00179218
1.204102  0.00336055  -0.00180572
1.209961  0.00296982  -0.00181862
1.215820  0.00262898  -0.00183151
1.221680  0.00236654  -0.00184390
1.227539  0.00216213  -0.00185578
1.233398  0.00200192  -0.00186767
1.239258  0.00187764  -0.00187855
1.245117  0.03090032  -0.00188923
1.250977  0.01385841  -0.00189977
1.256836  0.00919367  -0.00190957
1.262695  0.00702433  -0.00191937
1.268555  0.00578304  -0.00192756
1.274414  0.00499136  -0.00193415
1.280273  0.00445422  -0.00194073
1.286133  0.00407761  -0.00194542
1.291992  0.00381122  -0.00194972
1.297852  0.00362640  -0.00195369
1.303711  0.00350657  -0.00195597
1.309570  0.00344265  -0.00195825
1.315430  0.00343103  -0.00196002
1.321289  0.00347292  -0.00196126
1.327148  0.00357482  -0.00196250
1.333008  0.00375054  -0.00196281
1.338867  0.00402574  -0.00196293
1.344727  0.00444818  -0.00196274
1.350586  0.00511278  -0.00196098
1.356445  0.00623288  -0.00195921
1.362305  0.00840025  -0.00195635
1.368164  0.01407933  -0.00195240
1.374023  0.06416998  -0.00194846
1.379883  0.00196944  -0.00194337
1.385742  0.00215417  -0.00193805
1.391602  0.00240600  -0.00193270
1.397461  0.00274804  -0.00192714
1.403320  0.00313104  -0.00192158
1.409180  0.00326708  -0.00191490
1.415039  0.00459331  -0.00190708
1.420898  0.00991792  -0.00189926
1.426758  0.00182898  -0.00189107
1.432617  0.00194274  -0.00188282
1.438477  0.00231982  -0.00187444
1.444336  0.00285171  -0.00186540
1.450195  0.00339777  -0.00185637
1.456055  0.00774886  -0.00184694
1.461914  0.00180372  -0.00183709
1.467773  0.00226938  -0.00182725
1.473633  0.00313628  -0.00181681
1.479492  0.00485223  -0.00180626
1.485352  0.00178924  -0.00179560
1.491211  0.00227295  -0.00178447
1.497070  0.00330903  -0.00177334
1.502930  0.00635140  -0.00176199
1.508789  0.00197217  -0.00175042
1.514648  0.00261574  -0.00173885
1.520508  0.00389769  -0.00172709
1.526367  0.00181668  -0.00171530
1.532227  0.00240221  -0.00170359
1.538086  0.00359101  -0.00169233
1.543945  0.00182190  -0.00168107
1.549805  0.00252301  -0.00166985
1.555664  0.00449942  -0.00165868
1.561523  0.00198700  -0.00164750
1.567383  0.00318111  -0.00163651
1.573242  0.01191671  -0.00162555
1.579102  0.00237528  -0.00161447
1.584961  0.00412494  -0.00160283
1.590820  0.00207942  -0.00159118
1.596680  0.00373300  -0.00157922
1.602539  0.00212157  -0.00156695
1.608398  0.00326839  -0.00155467
1.614258  0.01847441  -0.00154217
1.620117  0.00286902  -0.00152963
1.625977  0.01048557  -0.00151712
1.631836  0.00273246  -0.00150482
1.637695  0.00974579  -0.00149252
1.643555  0.00276737  -0.00148066
1.649414  0.01326953  -0.00146923
1.655273  0.00297301  -0.00145781
1.661133  0.08063347  -0.00144746
1.666992  0.00354250  -0.00143731
1.672852  0.00234900  -0.00142728
1.678711  0.00509233  -0.00141778
1.684570  0.00273222  -0.00140828
1.690430  0.00771954  -0.00139871
1.696289  0.00313898  -0.00138907
1.702148  0.00229714  -0.00137943
1.708008  0.00510817  -0.00137097
1.713867  0.00292325  -0.00136274
1.719727  0.01860348  -0.00135482
1.725586  0.00415934  -0.00134848
1.731445  0.00276354  -0.00134214
1.737305  0.01372225  -0.00133701
1.743164  0.00420979  -0.00133308
1.749023  0.00288369  -0.00132916
1.754883  0.04868054  -0.00132645
1.760742  0.00533038  -0.00132398
1.766602  0.00337804  -0.00132156
1.772461  0.00268176  -0.00131934
1.778320  0.01294595  -0.00131713
1.784180  0.00516668  -0.00131514
1.790039  0.00350774  -0.00131337
1.795898  0.00275670  -0.00131161
1.801758  0.01594287  -0.00131129
1.807617  0.00576391  -0.00131127
1.813477  0.00396100  -0.00131117
1.819336  0.00313393  -0.00131072
1.825195  0.00264585  -0.00131028
1.831055  0.02784240  -0.00131189
1.836914  0.00727865  -0.00131555
1.842773  0.00475964  -0.00131921
1.848633  0.00369829  -0.00132534
1.854492  0.00309032  -0.00133196
1.860352  0.00269318  -0.00133961
1.866211  0.00242908  -0.00135246
1.872070  0.00226543  -0.00136530
1.877930  0.01440044  -0.00137836
1.883789  0.00625149  -0.00139165
1.889648  0.00426141  -0.00140493
1.895508  0.00336983  -0.00142431
1.901367  0.00287904  -0.00144491
1.907227  0.00258415  -0.00146873
1.913086  0.00240379  -0.00150865
1.918945  0.00230050  -0.00154856
1.924805  0.00225640  -0.00159825
1.930664  0.00195157  -0.00165770
1.936523  0.00196222  -0.00171715
1.942383  0.00197169  -0.00177809
1.948242  0.00198018  -0.00183933
1.954102  0.00198787  -0.00189889
1.959961  0.00199490  -0.00195010
1.965820  0.00200139  -0.00200131
1.971680  0.00200744  -0.00205249
1.977539  0.00201312  -0.00210366
1.983398  0.00201850  -0.00215482
1.989258  0.00202363  -0.00220445
1.995117  0.00202857  -0.00225377
2.000977  0.00203334  -0.00230268
2.006836  0.00203799  -0.00234958
2.012695  0.00204253  -0.00239647
2.018555  0.00204699  -0.00244277
2.024414  0.00205138  -0.00248847
2.030273  0.00205571  -0.00253417
2.036133  0.00206000  -0.00257884
2.041992  0.00206424  -0.00262329
2.047852  0.00206846  -0.00266743
2.053711  0.00207264  -0.00270994
2.059570  0.00207678  -0.00275246
2.065430  0.00208090  -0.00279411
2.071289  0.00208498  -0.00283491
2.077148  0.00208903  -0.00287571
2.083008  0.00209304  -0.00291575
2.088867  0.00209701  -0.00295565
2.094727  0.00210094  -0.00299482
2.100586  0.00210483  -0.00303036
2.106445  0.00210867  -0.00306589
2.112305  0.00211246  -0.00310063
2.118164  0.00211620  -0.00313459
2.124023  0.00211989  -0.00316854
2.129883  0.00212352  -0.00320003
2.135742  0.00212710  -0.00323103
2.141602  0.00213061  -0.00326188
2.147461  0.00213405  -0.00329198
2.153320  0.00213744  -0.00332208
2.159180  0.00214076  -0.00335209
2.165039  0.00214402  -0.00338201
2.170898  0.00214722  -0.00341193
2.176758  0.00215036  -0.00344076
2.182617  0.00215345  -0.00346937
2.188477  0.00215650  -0.00349752
2.194336  0.00215950  -0.00352332
2.200195  0.00216247  -0.00354912
2.206055  0.00216540  -0.00357350
2.211914  0.00216831  -0.00359646
2.217773  0.00217119  -0.00361943
2.223633  0.00217404  -0.00364168
2.229492  0.00217687  -0.00366379
2.235352  0.00217968  -0.00368608
2.241211  0.00218246  -0.00370926
2.247070  0.00218521  -0.00373244
